"",Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55
EEF1A1,1201.1268,821.1644,1066.1295,1100.9166,1968.935,2050.1341,778.4482,1707.6459,1361.4753,1109.9293,957.0326,2068.4565,676.8654,2483.1328,1741.7953,2898.3117,2548.8941,741.277,644.5012,1428.5827,1233.8705,1599.1086,1571.4317,2086.6887,2322.9566,1018.5477,1357.6197,1744.8606,1351.6758,1310.7429,1310.2497,1853.8244,1008.6124,1510.6641,1428.9843,1219.734,1903.1236,1517.657,1785.5952,1980.11,1628.1535,978.7693,1559.1875,2131.5001,2240.691,3880.0633,3063.9641,2299.2597,1935.6096,1433.982,2282.0613,2137.7802,1217.1204,1318.4413,1080.7633
IFITM2,69.6686,905.7104,288.0646,299.3923,262.8012,207.393,397.4031,279.2414,165.5068,315.5253,202.8025,163.1524,1093.7016,332.0189,478.6633,181.3763,561.7128,1273.22,751.8718,528.5678,318.0745,371.103,235.8882,424.0851,453.195,354.4694,352.9455,315.4285,464.4112,770.2625,496.95,707.3475,915.0905,568.5128,344.0796,172.4764,204.9074,71.7973,126.7404,318.1807,415.1,349.4491,528.7493,342.7881,699.8667,449.1071,213.9526,244.3348,505.3466,231.1608,457.0315,371.1868,89.6996,203.9147,4694.2024
B2M,2041.9312,1909.4287,2014.0227,1128.8415,1745.4397,1519.1736,485.7118,1696.1007,732.0177,2052.9716,1636.7692,1251.1436,1299.9584,1666.4813,2166.7325,1642.7524,1987.2691,3684.0623,1138.4335,1260.8092,1277.6447,2268.0861,1956.7732,1312.5656,2257.7304,2967.4138,3116.853,1909.7187,1597.1611,1917.6815,2060.0201,1670.6556,1647.2862,2662.1501,2172.4524,1326.4784,1631.3216,534.9345,1784.3619,1755.4929,1439.7476,2202.2867,3323.1828,1025.8403,1469.2178,1317.1165,1682.5434,1669.002,2098.9823,1242.4247,1376.4718,1694.7151,1294.0596,1791.2259,2473.0343
HSPB1,130.2631,241.9118,94.727,140.5186,257.2153,455.651,476.0325,184.4603,182.2065,142.5506,146.4697,245.6384,101.8952,115.8291,252.9594,179.3013,194.3159,61.4036,33.3437,224.5214,283.8324,285.0656,67.2937,295.4868,190.3678,376.2167,141.0298,267.2616,66.3751,96.5,246.8237,1131.7774,476.2809,182.873,154.9467,46.9348,205.2329,4376.9287,99.7516,235.445,247.0516,415.2638,131.2604,65.1782,376.455,98.6996,108.4578,193.5536,716.1656,342.5297,418.6938,141.1393,107.9756,284.7242,34.2899
CAMP,12.9461,2.4386,3.689,7.7654,1.0328,43.8353,0.8376,8.8289,1.233,10.451,16.8973,104.2206,111.7428,44.3299,2.394,108.5214,2.667,689.3288,4183.7614,22.4213,20.8155,68.7235,58.3938,13.1087,1.1545,215.2382,145.6373,69.0216,630.0247,406.7052,0.0178,6.2593,0.8936,573.5093,0.7332,1.5897,4.7116,2.6233,9.5842,14.4335,0,62.9647,2.4197,12.0257,0.4126,0.1273,188.2156,0.1401,10.3277,26.0869,7.304,2.7551,23.1396,0.5609,308.583
FCN1,63.8647,2204.0403,1830.6957,6.018,53.1324,110.9107,143.5757,315.5875,84.8437,1458.1513,1573.4315,572.7444,838.3255,236.0561,494.4953,36.7152,126.2804,1274.5874,1312.6236,13.6341,201.5149,1243.3569,134.5913,35.9291,313.6379,263.0444,1829.9498,60.8161,454.6777,490.5467,26.1638,50.6651,11.9567,248.9326,10.3807,383.3576,360.2413,99.3346,240.6624,22.6912,4.5753,422.1471,1473.9057,99.9796,183.4167,34.8577,119.5123,20.8583,392.9984,477.6412,29.0249,10.0706,69.7759,61.987,850.2434
CA1,610.8597,6.5912,167.2703,17.7153,4.7861,191.8877,2.8657,77.9123,304.0199,309.1436,1044.1069,29.1366,222.5048,211.9603,94.5211,571.8513,22.9138,173.1429,1247.8381,16.5465,105.0796,51.6475,1041.3447,38.4218,15.8797,20.1955,36.9751,81.336,385.1179,282.9494,0.6317,31.5004,59.6377,148.5024,15.9622,13.6669,21.3313,492.8854,323.0898,79.4136,1.5624,34.0992,67.4898,2030.996,4.6319,3.7713,389.7093,250.6646,2.3021,8.0764,101.6217,82.3465,2962.21,761.4678,35.8124
RPLP1,1871.9322,2111.9253,911.017,492.7386,1477.9616,1768.2508,2301.7634,1233.5672,1301.13,2083.9794,1306.1956,989.6704,616.6035,1503.6746,1557.07,2149.0193,2316.6481,808.7733,561.1339,1362.861,1524.8413,2146.1289,1436.4717,2049.2853,1842.6337,662.5241,1095.6093,978.7075,597.8844,745.7571,1427.987,1260.8325,971.7765,1356.251,1189.1888,1172.8114,2006.6328,932.6601,925.7467,2011.8597,1670.4806,1747.249,1104.8339,1829.4629,1439.8326,1525.5975,1461.8559,1394.1579,968.9689,1041.2538,838.9564,636.497,654.4065,1589.5879,686.077
RPS4X,925.382,1341.6799,430.5268,662.7809,1147.0525,2270.593,2090.9569,638.2059,617.0501,917.5063,809.4462,884.161,746.5638,1647.4337,1383.5137,2299.6704,2153.5886,398.1473,513.5097,1095.5965,1421.4726,1253.0821,736.6082,1801.6507,1358.8778,482.4138,974.9414,954.3511,545.2686,726.0803,1642.3681,936.9035,696.2905,946.5261,970.7876,713.7987,1576.7476,625.0501,761.1791,1179.6502,780.1468,1408.178,1058.5809,588.7221,1382.4963,1352.2186,512.9716,660.2743,977.077,724.5307,1193.1675,562.6297,246.4153,1245.1474,241.7491
HBM,1526.8197,10.1221,540.5385,12.255,1.1139,203.753,9.3823,102.0159,454.1189,397.0072,1782.9581,30.0802,733.9604,52.8711,62.1808,108.4643,15.8975,41.6075,496.767,11.5202,153.8243,33.6345,1639.5988,30.9646,8.3548,9.3834,69.2677,69.8852,271.7546,235.692,1.0268,4.8209,27.3599,401.3233,42.7672,14.7347,27.1637,813.6066,160.6232,77.3097,7.393,26.366,64.1074,520.2192,4.7971,3.3264,196.709,21.0416,2.6159,135.8095,86.2478,8.9899,2127.9702,1360.9028,22.0255
HBD,859.7435,20.7448,319.8625,13.4383,4.1265,151.6036,8.7246,82.3469,363.621,1382.2803,1861.1087,32.2984,593.8527,45.789,43.4206,410.3554,9.0157,97.8361,922.0082,11.5845,75.6113,32.6168,694.795,27.5665,7.4554,10.9971,51.7191,69.3022,131.8193,102.7908,3.8917,20.6686,40.4229,165.738,16.438,6.9226,16.275,1412.4322,963.5295,120.3011,4.5734,32.585,45.5191,1710.3691,14.6775,4.6888,253.9537,298.5563,28.6073,34.895,59.9192,40.6107,1432.4642,1327.4171,23.9431
